Wavelength(nm),PHATh
579.154,1.271
579.506,1.276
579.858,1.281
580.209,1.287
580.561,1.292
580.913,1.297
581.264,1.303
581.616,1.308
581.967,1.313
582.318,1.319
582.67,1.324
583.021,1.329
583.372,1.334
583.723,1.339
584.074,1.344
584.426,1.35
584.777,1.355
585.128,1.36
585.479,1.365
585.829,1.37
586.18,1.375
586.531,1.38
586.882,1.385
587.233,1.39
587.583,1.395
587.934,1.4
588.284,1.405
588.635,1.41
588.985,1.415
589.336,1.42
589.686,1.425
590.037,1.43
590.387,1.434
590.737,1.439
591.087,1.444
591.437,1.448
591.788,1.453
592.138,1.457
592.488,1.462
592.838,1.467
593.188,1.471
593.537,1.475
593.887,1.48
594.237,1.484
594.587,1.488
594.936,1.492
595.286,1.496
595.636,1.5
595.985,1.504
596.335,1.508
596.684,1.512
597.034,1.516
597.383,1.519
597.732,1.523
598.081,1.527
598.431,1.53
598.78,1.533
599.129,1.537
599.478,1.54
599.827,1.543
600.176,1.546
600.525,1.549
600.874,1.552
601.223,1.555
601.572,1.558
601.92,1.561
602.269,1.564
602.618,1.567
602.966,1.569
603.315,1.571
603.663,1.573
604.012,1.575
604.36,1.577
604.709,1.58
605.057,1.582
605.405,1.584
605.753,1.586
606.102,1.588
606.45,1.59
606.798,1.591
607.146,1.593
607.494,1.595
607.842,1.596
608.19,1.597
608.538,1.598
608.885,1.6
609.233,1.601
609.581,1.602
609.929,1.603
610.276,1.604
610.624,1.605
610.971,1.606
611.319,1.606
611.666,1.607
612.014,1.607
612.361,1.608
612.708,1.608
613.056,1.608
613.403,1.609
613.75,1.609
614.097,1.609
614.444,1.609
614.791,1.609
615.138,1.609
615.485,1.609
615.832,1.608
616.179,1.608
616.525,1.608
616.872,1.607
617.219,1.607
617.566,1.606
617.912,1.606
618.259,1.605
618.605,1.605
618.952,1.604
619.298,1.603
619.644,1.603
619.991,1.602
620.337,1.601
620.683,1.6
621.029,1.599
621.375,1.599
621.721,1.598
622.067,1.597
622.413,1.596
622.759,1.595
623.105,1.594
623.451,1.593
623.797,1.593
624.143,1.592
624.488,1.591
624.834,1.59
625.18,1.589
625.525,1.588
625.871,1.587
626.216,1.586
626.561,1.585
626.907,1.584
627.252,1.583
627.597,1.582
627.943,1.581
628.288,1.58
628.633,1.579
628.978,1.579
629.323,1.578
629.668,1.577
630.013,1.576
630.358,1.576
630.703,1.575
631.047,1.574
631.392,1.573
631.737,1.573
632.082,1.572
632.426,1.571
632.771,1.57
633.115,1.569
633.46,1.569
633.804,1.568
634.148,1.567
634.493,1.567
634.837,1.566
635.181,1.565
635.525,1.565
635.87,1.564
636.214,1.564
636.558,1.563
636.902,1.563
637.246,1.562
637.589,1.562
637.933,1.561
638.277,1.56
638.621,1.56
638.965,1.559
639.308,1.559
639.652,1.558
639.995,1.558
640.339,1.557
640.682,1.557
641.026,1.556
641.369,1.556
641.712,1.556
642.056,1.555
642.399,1.555
642.742,1.554
643.085,1.554
643.428,1.553
643.771,1.552
644.114,1.551
644.457,1.551
644.8,1.55
645.143,1.549
645.486,1.548
645.828,1.547
646.171,1.546
646.514,1.545
646.856,1.544
647.199,1.543
647.541,1.542
647.884,1.541
648.226,1.539
648.569,1.538
648.911,1.536
649.253,1.535
649.596,1.533
649.938,1.531
650.28,1.53
650.622,1.528
650.964,1.526
651.306,1.523
651.648,1.521
651.99,1.519
652.332,1.516
652.673,1.514
653.015,1.511
653.357,1.508
653.698,1.505
654.04,1.501
654.382,1.498
654.723,1.495
655.065,1.491
655.406,1.487
655.747,1.483
656.089,1.478
656.43,1.474
656.771,1.47
657.112,1.465
657.453,1.46
657.794,1.455
658.135,1.45
658.476,1.444
658.817,1.439
659.158,1.433
659.499,1.427
659.84,1.421
660.181,1.415
660.521,1.408
660.862,1.402
661.202,1.395
661.543,1.388
661.883,1.38
662.224,1.373
662.564,1.365
662.905,1.358
663.245,1.349
663.585,1.341
663.925,1.333
664.266,1.324
664.606,1.315
664.946,1.306
665.286,1.297
665.626,1.288
665.966,1.278
666.306,1.269
666.645,1.259
666.985,1.249
667.325,1.239
667.665,1.229
668.004,1.219
668.344,1.208
668.683,1.198
669.023,1.187
669.362,1.176
669.702,1.166
670.041,1.155
670.38,1.144
670.719,1.133
671.059,1.122
671.398,1.111
671.737,1.099
672.076,1.088
672.415,1.076
672.754,1.065
673.093,1.053
673.432,1.042
673.77,1.03
674.109,1.018
674.448,1.007
674.787,0.995
675.125,0.983
675.464,0.972
675.802,0.96
676.141,0.948
676.479,0.936
676.818,0.925
677.156,0.913
677.494,0.902
677.832,0.89
678.171,0.879
678.509,0.867
678.847,0.856
679.185,0.844
679.523,0.833
679.861,0.822
680.199,0.81
680.536,0.799
680.874,0.788
681.212,0.777
681.55,0.766
681.887,0.755
682.225,0.744
682.562,0.733
682.9,0.722
683.237,0.712
683.575,0.701
683.912,0.691
684.249,0.68
684.587,0.67
684.924,0.66
685.261,0.65
685.598,0.64
685.935,0.63
686.272,0.621
686.609,0.611
686.946,0.602
687.283,0.593
687.62,0.583
687.957,0.574
688.293,0.565
688.63,0.556
688.967,0.547
689.303,0.539
689.64,0.53
