Wavelength(nm),PHAN
642.742,1.044
643.085,1.051
643.428,1.058
643.771,1.065
644.114,1.072
644.457,1.079
644.8,1.087
645.143,1.095
645.486,1.104
645.828,1.113
646.171,1.122
646.514,1.131
646.856,1.141
647.199,1.151
647.541,1.162
647.884,1.172
648.226,1.184
648.569,1.195
648.911,1.207
649.253,1.219
649.596,1.231
649.938,1.244
650.28,1.257
650.622,1.27
650.964,1.284
651.306,1.298
651.648,1.311
651.99,1.325
652.332,1.34
652.673,1.354
653.015,1.369
653.357,1.384
653.698,1.399
654.04,1.414
654.382,1.43
654.723,1.445
655.065,1.461
655.406,1.477
655.747,1.492
656.089,1.508
656.43,1.524
656.771,1.54
657.112,1.555
657.453,1.572
657.794,1.588
658.135,1.604
658.476,1.62
658.817,1.635
659.158,1.651
659.499,1.666
659.84,1.681
660.181,1.695
660.521,1.71
660.862,1.724
661.202,1.737
661.543,1.75
661.883,1.763
662.224,1.775
662.564,1.787
662.905,1.798
663.245,1.809
663.585,1.82
663.925,1.83
664.266,1.84
664.606,1.85
664.946,1.858
665.286,1.866
665.626,1.874
665.966,1.881
666.306,1.888
666.645,1.894
666.985,1.9
667.325,1.905
667.665,1.911
668.004,1.915
668.344,1.92
668.683,1.923
669.023,1.927
669.362,1.93
669.702,1.932
670.041,1.934
670.38,1.936
670.719,1.937
671.059,1.938
671.398,1.938
671.737,1.938
672.076,1.937
672.415,1.936
672.754,1.935
673.093,1.933
673.432,1.931
673.77,1.929
674.109,1.926
674.448,1.923
674.787,1.92
675.125,1.916
675.464,1.912
675.802,1.907
676.141,1.902
676.479,1.897
676.818,1.892
677.156,1.887
677.494,1.881
677.832,1.874
678.171,1.868
678.509,1.861
678.847,1.854
679.185,1.846
679.523,1.839
679.861,1.831
680.199,1.823
680.536,1.815
680.874,1.807
681.212,1.798
681.55,1.789
681.887,1.78
682.225,1.77
682.562,1.761
682.9,1.752
683.237,1.742
683.575,1.732
683.912,1.722
684.249,1.712
684.587,1.702
684.924,1.692
685.261,1.682
685.598,1.673
685.935,1.663
686.272,1.653
686.609,1.643
686.946,1.633
687.283,1.623
687.62,1.614
687.957,1.604
688.293,1.594
688.63,1.584
688.967,1.575
689.303,1.565
689.64,1.555
689.976,1.546
690.313,1.537
690.649,1.528
690.985,1.519
691.322,1.51
691.658,1.501
691.994,1.492
692.33,1.484
692.666,1.476
693.002,1.468
693.338,1.46
693.674,1.452
694.01,1.445
694.346,1.437
694.682,1.43
695.018,1.423
695.353,1.416
695.689,1.409
696.025,1.403
696.36,1.397
696.696,1.391
697.031,1.385
697.366,1.38
697.702,1.374
698.037,1.369
698.372,1.365
698.708,1.36
699.043,1.356
699.378,1.352
699.713,1.348
700.048,1.344
700.383,1.341
700.718,1.338
701.053,1.335
701.388,1.333
701.722,1.33
702.057,1.329
702.392,1.327
702.726,1.326
703.061,1.325
703.395,1.324
703.73,1.323
704.064,1.323
704.399,1.323
704.733,1.323
705.067,1.324
705.402,1.325
705.736,1.326
706.07,1.327
706.404,1.329
706.738,1.331
707.072,1.334
707.406,1.337
707.74,1.34
708.074,1.344
708.408,1.348
708.741,1.352
709.075,1.356
709.409,1.361
709.742,1.366
710.076,1.372
710.409,1.377
710.743,1.384
711.076,1.39
711.409,1.397
711.743,1.404
712.076,1.411
712.409,1.419
712.742,1.427
713.075,1.435
713.409,1.443
713.742,1.452
714.075,1.461
714.407,1.47
714.74,1.48
715.073,1.489
715.406,1.499
715.739,1.509
716.071,1.52
716.404,1.531
716.736,1.542
717.069,1.554
717.401,1.566
717.734,1.578
718.066,1.59
718.399,1.603
718.731,1.615
719.063,1.628
719.395,1.641
719.727,1.655
720.059,1.668
720.391,1.682
720.723,1.695
721.055,1.709
721.387,1.722
721.719,1.736
722.051,1.75
722.383,1.764
722.714,1.778
723.046,1.792
723.377,1.806
723.709,1.819
724.04,1.833
724.372,1.847
724.703,1.86
725.035,1.873
725.366,1.886
725.697,1.899
726.028,1.912
726.359,1.924
726.691,1.936
727.022,1.949
727.353,1.961
727.683,1.973
728.014,1.984
728.345,1.995
728.676,2.005
729.007,2.015
729.337,2.025
729.668,2.034
729.999,2.043
730.329,2.051
730.66,2.059
730.99,2.066
731.321,2.074
731.651,2.08
731.981,2.087
732.311,2.094
732.642,2.1
732.972,2.104
733.302,2.11
733.632,2.114
733.962,2.119
734.292,2.123
734.622,2.126
734.952,2.131
735.281,2.134
735.611,2.137
735.941,2.139
736.271,2.141
736.6,2.143
736.93,2.146
737.259,2.148
737.589,2.149
737.918,2.151
738.247,2.151
738.577,2.152
738.906,2.152
739.235,2.154
739.564,2.154
739.893,2.154
740.222,2.154
740.551,2.153
740.88,2.152
741.209,2.151
741.538,2.15
741.867,2.149
742.196,2.148
742.524,2.146
742.853,2.143
743.182,2.141
743.51,2.138
743.839,2.135
744.167,2.132
744.496,2.129
744.824,2.125
745.152,2.121
745.481,2.116
745.809,2.111
746.137,2.106
746.465,2.1
746.793,2.094
747.121,2.087
747.449,2.08
747.777,2.072
748.105,2.063
748.433,2.054
748.76,2.044
749.088,2.034
749.416,2.023
749.743,2.01
750.071,1.997
750.399,1.983
750.726,1.968
751.053,1.954
751.381,1.939
751.708,1.923
752.035,1.907
752.363,1.89
752.69,1.872
753.017,1.853
753.344,1.834
753.671,1.814
753.998,1.794
754.325,1.774
754.652,1.752
754.978,1.732
755.305,1.71
755.632,1.688
755.959,1.666
756.285,1.644
756.612,1.621
756.938,1.599
757.265,1.577
757.591,1.554
757.917,1.531
758.244,1.509
758.57,1.486
758.896,1.464
759.222,1.442
759.549,1.42
759.875,1.398
760.201,1.377
760.527,1.355
760.852,1.334
761.178,1.312
761.504,1.292
761.83,1.271
762.156,1.251
762.481,1.231
762.807,1.211
763.132,1.192
763.458,1.173
763.783,1.154
764.109,1.136
764.434,1.118
764.76,1.1
765.085,1.082
765.41,1.065
765.735,1.048
766.06,1.032
766.385,1.016
766.71,1
767.035,0.984
767.36,0.969
767.685,0.954
768.01,0.939
768.335,0.924
768.659,0.91
768.984,0.897
769.309,0.883
769.633,0.87
769.958,0.857
770.282,0.844
770.606,0.832
770.931,0.82
771.255,0.808
771.579,0.797
771.904,0.785
772.228,0.774
772.552,0.763
772.876,0.753
773.2,0.742
773.524,0.732
773.848,0.722
774.172,0.713
774.495,0.703
774.819,0.694
775.143,0.685
775.467,0.676
775.79,0.667
776.114,0.659
776.437,0.651
776.761,0.643
777.084,0.635
777.407,0.628
777.731,0.62
778.054,0.613
778.377,0.605
778.7,0.598
779.023,0.591
779.346,0.584
779.669,0.577
779.992,0.571
780.315,0.564
780.638,0.558
780.961,0.552
781.284,0.546
781.606,0.54
781.929,0.534
782.251,0.529
782.574,0.523
782.896,0.518
783.219,0.512
783.541,0.507
783.864,0.502
784.186,0.497
784.508,0.492
784.83,0.487
785.152,0.483
785.475,0.478
785.797,0.474
786.119,0.469
786.44,0.465
786.762,0.461
787.084,0.458
787.406,0.454
787.728,0.45
788.049,0.446
788.371,0.442
788.693,0.439
789.014,0.435
789.336,0.432
789.657,0.429
789.978,0.425
790.3,0.422
790.621,0.419
790.942,0.417
791.263,0.414
791.584,0.411
791.906,0.409
792.227,0.406
792.547,0.403
792.868,0.401
793.189,0.398
793.51,0.396
793.831,0.393
794.152,0.391
794.472,0.389
794.793,0.386
795.113,0.384
795.434,0.382
795.754,0.38
796.075,0.378
796.395,0.376
796.715,0.374
797.036,0.372
797.356,0.37
797.676,0.368
797.996,0.366
798.316,0.364
798.636,0.363
798.956,0.361
799.276,0.36
799.596,0.358
799.916,0.356
800.235,0.355
