Wavelength(nm),PHAT
586.18,0.149
586.531,0.148
586.882,0.147
587.233,0.146
587.583,0.145
587.934,0.144
588.284,0.143
588.635,0.142
588.985,0.141
589.336,0.14
589.686,0.139
590.037,0.138
590.387,0.138
590.737,0.137
591.087,0.136
591.437,0.135
591.788,0.135
592.138,0.134
592.488,0.133
592.838,0.133
593.188,0.132
593.537,0.132
593.887,0.131
594.237,0.131
594.587,0.13
594.936,0.129
595.286,0.129
595.636,0.129
595.985,0.128
596.335,0.128
596.684,0.127
597.034,0.127
597.383,0.126
597.732,0.126
598.081,0.125
598.431,0.125
598.78,0.124
599.129,0.124
599.478,0.124
599.827,0.123
600.176,0.123
600.525,0.123
600.874,0.122
601.223,0.122
601.572,0.122
601.92,0.121
602.269,0.121
602.618,0.121
602.966,0.121
603.315,0.12
603.663,0.12
604.012,0.12
604.36,0.12
604.709,0.119
605.057,0.119
605.405,0.119
605.753,0.118
606.102,0.118
606.45,0.118
606.798,0.118
607.146,0.118
607.494,0.117
607.842,0.117
608.19,0.117
608.538,0.117
608.885,0.117
609.233,0.116
609.581,0.116
609.929,0.116
610.276,0.116
610.624,0.115
610.971,0.115
611.319,0.115
611.666,0.115
612.014,0.115
612.361,0.114
612.708,0.114
613.056,0.114
613.403,0.114
613.75,0.114
614.097,0.114
614.444,0.113
614.791,0.113
615.138,0.113
615.485,0.113
615.832,0.113
616.179,0.113
616.525,0.112
616.872,0.112
617.219,0.112
617.566,0.112
617.912,0.112
618.259,0.112
618.605,0.112
618.952,0.112
619.298,0.112
619.644,0.112
619.991,0.112
620.337,0.111
620.683,0.111
621.029,0.111
621.375,0.111
621.721,0.111
622.067,0.111
622.413,0.11
622.759,0.11
623.105,0.11
623.451,0.11
623.797,0.11
624.143,0.109
624.488,0.109
624.834,0.109
625.18,0.109
625.525,0.109
625.871,0.109
626.216,0.109
626.561,0.109
626.907,0.109
627.252,0.109
627.597,0.109
627.943,0.109
628.288,0.109
628.633,0.109
628.978,0.109
629.323,0.109
629.668,0.108
630.013,0.108
630.358,0.108
630.703,0.108
631.047,0.108
631.392,0.108
631.737,0.108
632.082,0.108
632.426,0.108
632.771,0.107
633.115,0.107
633.46,0.107
633.804,0.107
634.148,0.107
634.493,0.107
634.837,0.107
635.181,0.107
635.525,0.107
635.87,0.107
636.214,0.107
636.558,0.107
636.902,0.107
637.246,0.107
637.589,0.107
637.933,0.107
638.277,0.107
638.621,0.107
638.965,0.107
639.308,0.107
639.652,0.107
639.995,0.107
640.339,0.107
640.682,0.107
641.026,0.107
641.369,0.107
641.712,0.107
642.056,0.107
642.399,0.107
642.742,0.107
643.085,0.107
643.428,0.106
643.771,0.107
644.114,0.107
644.457,0.107
644.8,0.107
645.143,0.107
645.486,0.106
645.828,0.106
646.171,0.106
646.514,0.106
646.856,0.106
647.199,0.106
647.541,0.106
647.884,0.106
648.226,0.106
648.569,0.106
648.911,0.106
649.253,0.106
649.596,0.106
649.938,0.106
650.28,0.106
650.622,0.106
650.964,0.106
651.306,0.106
651.648,0.106
651.99,0.106
652.332,0.106
652.673,0.106
653.015,0.106
653.357,0.105
653.698,0.105
654.04,0.105
654.382,0.105
654.723,0.105
655.065,0.105
655.406,0.105
655.747,0.105
656.089,0.104
656.43,0.104
656.771,0.104
657.112,0.104
657.453,0.104
657.794,0.104
658.135,0.104
658.476,0.104
658.817,0.104
659.158,0.103
659.499,0.103
659.84,0.103
660.181,0.103
660.521,0.103
660.862,0.103
661.202,0.103
661.543,0.103
661.883,0.103
662.224,0.103
662.564,0.103
662.905,0.103
663.245,0.103
663.585,0.103
663.925,0.102
664.266,0.102
664.606,0.102
664.946,0.102
665.286,0.102
665.626,0.102
665.966,0.102
666.306,0.102
666.645,0.102
666.985,0.102
667.325,0.102
667.665,0.102
668.004,0.102
668.344,0.102
668.683,0.102
669.023,0.102
669.362,0.102
669.702,0.102
670.041,0.102
670.38,0.102
670.719,0.101
671.059,0.101
671.398,0.101
671.737,0.101
672.076,0.101
672.415,0.101
672.754,0.101
673.093,0.101
673.432,0.101
673.77,0.101
674.109,0.102
674.448,0.102
674.787,0.102
675.125,0.102
675.464,0.102
675.802,0.102
676.141,0.102
676.479,0.101
676.818,0.101
677.156,0.101
677.494,0.101
677.832,0.102
678.171,0.102
678.509,0.101
678.847,0.101
679.185,0.101
679.523,0.101
679.861,0.101
680.199,0.101
680.536,0.101
680.874,0.101
681.212,0.101
681.55,0.101
681.887,0.101
682.225,0.101
682.562,0.101
682.9,0.101
683.237,0.101
683.575,0.101
683.912,0.101
684.249,0.101
684.587,0.101
684.924,0.101
685.261,0.101
685.598,0.101
685.935,0.101
686.272,0.101
686.609,0.101
686.946,0.101
687.283,0.101
687.62,0.101
687.957,0.101
688.293,0.101
688.63,0.101
688.967,0.101
689.303,0.101
689.64,0.101
689.976,0.101
690.313,0.101
690.649,0.101
690.985,0.101
691.322,0.101
691.658,0.101
691.994,0.101
692.33,0.101
692.666,0.101
693.002,0.101
693.338,0.101
693.674,0.101
694.01,0.101
694.346,0.101
694.682,0.101
695.018,0.101
695.353,0.101
695.689,0.101
696.025,0.1
696.36,0.1
696.696,0.1
697.031,0.1
697.366,0.1
697.702,0.1
698.037,0.1
698.372,0.1
698.708,0.1
699.043,0.1
699.378,0.1
699.713,0.1
700.048,0.1
700.383,0.1
700.718,0.1
701.053,0.099
701.388,0.099
701.722,0.099
702.057,0.099
702.392,0.099
702.726,0.099
703.061,0.099
703.395,0.099
703.73,0.099
704.064,0.099
704.399,0.099
704.733,0.099
705.067,0.099
705.402,0.099
705.736,0.099
706.07,0.099
706.404,0.099
706.738,0.099
707.072,0.099
707.406,0.099
707.74,0.099
708.074,0.098
708.408,0.098
708.741,0.098
709.075,0.098
709.409,0.098
709.742,0.098
710.076,0.098
710.409,0.098
710.743,0.098
711.076,0.098
711.409,0.098
711.743,0.098
712.076,0.098
712.409,0.098
712.742,0.098
713.075,0.098
713.409,0.097
713.742,0.097
714.075,0.097
714.407,0.097
714.74,0.097
715.073,0.097
715.406,0.097
715.739,0.097
716.071,0.097
716.404,0.097
716.736,0.097
717.069,0.097
717.401,0.096
717.734,0.096
718.066,0.096
718.399,0.096
718.731,0.096
719.063,0.096
719.395,0.095
719.727,0.095
720.059,0.095
720.391,0.095
720.723,0.095
721.055,0.095
721.387,0.095
721.719,0.095
722.051,0.095
722.383,0.095
722.714,0.096
723.046,0.096
723.377,0.096
723.709,0.096
724.04,0.096
724.372,0.096
724.703,0.096
725.035,0.096
725.366,0.096
725.697,0.096
726.028,0.096
726.359,0.097
726.691,0.097
727.022,0.097
727.353,0.096
727.683,0.096
728.014,0.096
728.345,0.096
728.676,0.096
729.007,0.096
729.337,0.096
729.668,0.096
729.999,0.096
730.329,0.096
730.66,0.096
730.99,0.096
731.321,0.096
731.651,0.096
731.981,0.096
732.311,0.096
732.642,0.096
732.972,0.096
733.302,0.096
733.632,0.096
733.962,0.096
734.292,0.096
734.622,0.096
734.952,0.096
735.281,0.096
735.611,0.096
735.941,0.097
736.271,0.097
736.6,0.096
736.93,0.096
737.259,0.096
737.589,0.096
737.918,0.096
738.247,0.096
738.577,0.096
738.906,0.096
739.235,0.096
739.564,0.096
739.893,0.096
740.222,0.096
740.551,0.096
740.88,0.095
741.209,0.096
741.538,0.096
741.867,0.096
742.196,0.096
742.524,0.096
742.853,0.096
743.182,0.095
743.51,0.095
743.839,0.095
744.167,0.095
744.496,0.095
744.824,0.095
745.152,0.095
745.481,0.095
745.809,0.095
746.137,0.095
746.465,0.095
746.793,0.095
747.121,0.096
747.449,0.096
747.777,0.096
748.105,0.096
748.433,0.096
748.76,0.095
749.088,0.095
749.416,0.095
749.743,0.095
750.071,0.095
750.399,0.094
750.726,0.095
751.053,0.095
751.381,0.095
751.708,0.094
752.035,0.094
752.363,0.094
752.69,0.094
753.017,0.093
753.344,0.093
753.671,0.093
753.998,0.093
754.325,0.093
754.652,0.094
754.978,0.094
755.305,0.094
755.632,0.093
755.959,0.093
756.285,0.093
756.612,0.093
756.938,0.093
757.265,0.093
757.591,0.093
757.917,0.093
758.244,0.093
758.57,0.093
758.896,0.093
759.222,0.093
759.549,0.092
759.875,0.092
760.201,0.092
760.527,0.092
760.852,0.092
761.178,0.092
761.504,0.092
761.83,0.092
762.156,0.092
762.481,0.092
762.807,0.092
763.132,0.092
763.458,0.093
763.783,0.093
764.109,0.093
764.434,0.093
764.76,0.093
765.085,0.093
765.41,0.093
765.735,0.093
766.06,0.093
766.385,0.093
766.71,0.094
767.035,0.094
767.36,0.094
767.685,0.094
768.01,0.094
768.335,0.094
768.659,0.094
768.984,0.094
769.309,0.095
769.633,0.095
769.958,0.095
770.282,0.095
770.606,0.095
770.931,0.095
771.255,0.096
771.579,0.096
771.904,0.096
772.228,0.096
772.552,0.096
772.876,0.096
773.2,0.096
773.524,0.097
773.848,0.097
774.172,0.097
774.495,0.097
774.819,0.097
775.143,0.097
775.467,0.097
775.79,0.097
776.114,0.097
776.437,0.097
776.761,0.096
777.084,0.096
777.407,0.096
777.731,0.096
778.054,0.096
778.377,0.096
778.7,0.096
779.023,0.096
779.346,0.096
779.669,0.096
779.992,0.096
780.315,0.096
780.638,0.096
780.961,0.096
781.284,0.096
781.606,0.096
781.929,0.096
782.251,0.096
782.574,0.096
782.896,0.096
783.219,0.096
783.541,0.097
783.864,0.096
784.186,0.096
784.508,0.096
784.83,0.096
785.152,0.096
785.475,0.096
785.797,0.096
786.119,0.096
786.44,0.096
786.762,0.095
787.084,0.095
787.406,0.095
787.728,0.096
788.049,0.096
788.371,0.096
788.693,0.096
789.014,0.096
789.336,0.096
789.657,0.096
789.978,0.096
790.3,0.096
790.621,0.096
790.942,0.097
791.263,0.097
791.584,0.097
791.906,0.097
792.227,0.097
792.547,0.097
792.868,0.097
793.189,0.097
793.51,0.097
793.831,0.098
794.152,0.098
794.472,0.098
794.793,0.098
795.113,0.098
795.434,0.098
795.754,0.098
796.075,0.098
796.395,0.098
796.715,0.098
797.036,0.097
797.356,0.098
797.676,0.098
797.996,0.098
798.316,0.097
798.636,0.097
798.956,0.098
799.276,0.098
799.596,0.098
799.916,0.098
800.235,0.098
800.555,0.098
800.875,0.098
801.194,0.098
801.514,0.098
801.833,0.098
802.153,0.098
802.472,0.098
802.791,0.098
803.111,0.098
803.43,0.099
803.749,0.099
804.068,0.099
804.387,0.099
804.706,0.1
805.025,0.1
805.344,0.1
805.663,0.1
805.982,0.1
806.301,0.1
806.62,0.1
806.938,0.1
807.257,0.1
807.575,0.099
807.894,0.099
808.212,0.1
808.531,0.1
808.849,0.1
809.167,0.1
809.486,0.1
809.804,0.1
810.122,0.1
810.44,0.099
810.758,0.099
811.076,0.099
811.394,0.1
811.712,0.099
812.03,0.099
812.348,0.099
812.666,0.099
812.983,0.099
813.301,0.098
813.618,0.099
813.936,0.099
814.253,0.099
814.571,0.099
814.888,0.099
815.206,0.099
815.523,0.099
815.84,0.099
816.157,0.099
816.475,0.098
816.792,0.098
817.109,0.098
817.426,0.097
817.743,0.097
818.059,0.097
818.376,0.097
818.693,0.097
819.01,0.097
819.326,0.097
819.643,0.098
819.96,0.098
820.276,0.098
820.593,0.098
820.909,0.098
821.225,0.098
821.542,0.098
821.858,0.098
822.174,0.098
822.49,0.099
822.806,0.099
823.122,0.099
823.438,0.099
823.754,0.099
824.07,0.099
824.386,0.099
824.702,0.1
825.018,0.1
825.333,0.1
825.649,0.1
825.965,0.1
826.28,0.101
826.596,0.101
826.911,0.101
827.226,0.101
827.542,0.101
827.857,0.102
828.172,0.102
828.487,0.102
828.803,0.102
829.118,0.102
829.433,0.102
829.748,0.102
830.063,0.103
830.377,0.103
830.692,0.103
831.007,0.104
831.322,0.104
831.636,0.103
831.951,0.103
832.266,0.103
832.58,0.103
832.895,0.103
833.209,0.103
833.523,0.103
833.838,0.103
834.152,0.103
834.466,0.103
834.78,0.103
835.094,0.103
835.408,0.103
835.722,0.103
836.036,0.103
836.35,0.103
836.664,0.103
836.978,0.103
837.291,0.103
837.605,0.103
837.919,0.103
838.232,0.103
838.546,0.103
838.859,0.102
839.173,0.102
839.486,0.102
839.799,0.102
840.113,0.102
840.426,0.101
840.739,0.101
841.052,0.101
841.365,0.101
841.678,0.101
841.991,0.101
842.304,0.1
842.617,0.1
842.93,0.1
843.243,0.1
843.555,0.1
843.868,0.1
844.18,0.1
844.493,0.1
844.805,0.1
845.118,0.1
845.43,0.1
845.743,0.1
846.055,0.1
846.367,0.1
846.679,0.1
846.991,0.1
847.303,0.099
847.615,0.099
847.927,0.099
848.239,0.099
848.551,0.1
848.863,0.1
849.175,0.1
849.486,0.1
849.798,0.101
850.11,0.101
850.421,0.101
850.733,0.101
851.044,0.101
851.356,0.102
851.667,0.102
851.978,0.102
852.289,0.102
852.601,0.102
852.912,0.102
853.223,0.102
853.534,0.102
853.845,0.103
854.156,0.103
854.467,0.103
854.777,0.103
855.088,0.104
855.399,0.104
855.71,0.104
856.02,0.105
856.331,0.105
856.641,0.105
856.952,0.105
857.262,0.105
857.573,0.105
857.883,0.105
858.193,0.106
858.503,0.106
858.813,0.106
859.123,0.106
859.434,0.106
859.743,0.107
860.053,0.107
860.363,0.108
860.673,0.108
860.983,0.109
861.293,0.109
861.602,0.108
861.912,0.108
862.221,0.108
862.531,0.108
862.84,0.108
863.15,0.108
863.459,0.108
863.769,0.107
864.078,0.108
864.387,0.108
864.696,0.108
865.005,0.108
865.314,0.109
865.623,0.109
865.932,0.109
866.241,0.109
866.55,0.109
866.859,0.109
867.167,0.109
867.476,0.109
867.785,0.109
868.093,0.109
868.402,0.109
868.71,0.109
869.019,0.109
869.327,0.109
869.635,0.109
869.944,0.109
870.252,0.109
870.56,0.109
870.868,0.109
871.176,0.109
871.484,0.109
871.792,0.11
872.1,0.11
872.408,0.11
872.715,0.109
873.023,0.109
873.331,0.109
873.638,0.109
873.946,0.109
874.254,0.109
874.561,0.109
874.868,0.109
875.176,0.109
875.483,0.11
875.79,0.11
876.098,0.111
876.405,0.111
876.712,0.111
