Wavelength(nm),PHAT,PHAN,PHATh
537.683,1.698,0.255,0.586
538.04,1.697,0.254,0.591
538.397,1.694,0.252,0.596
538.754,1.691,0.25,0.602
539.111,1.687,0.249,0.607
539.468,1.68,0.247,0.612
539.825,1.673,0.246,0.618
540.182,1.664,0.245,0.624
540.539,1.654,0.244,0.629
540.895,1.643,0.243,0.635
541.252,1.631,0.242,0.64
541.609,1.617,0.241,0.646
541.965,1.602,0.24,0.652
542.322,1.586,0.239,0.657
542.678,1.568,0.239,0.663
543.035,1.55,0.238,0.669
543.391,1.53,0.238,0.674
543.748,1.51,0.238,0.68
544.104,1.489,0.237,0.686
544.46,1.467,0.237,0.692
544.817,1.444,0.237,0.698
545.173,1.42,0.237,0.704
545.529,1.397,0.237,0.71
545.885,1.372,0.237,0.716
546.241,1.348,0.237,0.721
546.597,1.322,0.237,0.727
546.953,1.297,0.238,0.733
547.309,1.271,0.238,0.739
547.665,1.245,0.239,0.745
548.021,1.219,0.239,0.751
548.377,1.193,0.239,0.757
548.732,1.168,0.24,0.763
549.088,1.142,0.241,0.769
549.444,1.117,0.241,0.775
549.799,1.091,0.242,0.781
550.155,1.066,0.243,0.787
550.51,1.042,0.243,0.794
550.866,1.017,0.244,0.8
551.221,0.993,0.245,0.806
551.577,0.969,0.246,0.812
551.932,0.945,0.247,0.818
552.287,0.922,0.248,0.824
552.643,0.899,0.249,0.83
552.998,0.876,0.25,0.837
553.353,0.855,0.252,0.843
553.708,0.833,0.253,0.849
554.063,0.812,0.254,0.856
554.418,0.791,0.255,0.862
554.773,0.771,0.257,0.868
555.128,0.751,0.258,0.874
555.483,0.732,0.259,0.88
555.838,0.713,0.261,0.887
556.192,0.694,0.262,0.893
556.547,0.676,0.264,0.899
556.902,0.659,0.265,0.905
557.257,0.641,0.267,0.911
557.611,0.625,0.269,0.918
557.966,0.608,0.27,0.924
558.32,0.592,0.272,0.93
558.675,0.577,0.274,0.936
559.029,0.562,0.275,0.942
559.383,0.547,0.277,0.948
559.738,0.533,0.278,0.955
560.092,0.519,0.28,0.961
560.446,0.506,0.282,0.967
560.8,0.492,0.283,0.973
561.155,0.48,0.285,0.979
561.509,0.467,0.287,0.985
561.863,0.456,0.288,0.991
562.217,0.444,0.29,0.997
562.571,0.433,0.292,1.003
562.925,0.422,0.294,1.01
563.278,0.412,0.295,1.016
563.632,0.401,0.297,1.022
563.986,0.392,0.299,1.028
